Word;Frequency;%
confession;3;0.00938908
content;3;0.00938908
corruption;3;0.00938908
corse;3;0.00938908
counsel;3;0.00938908
count;3;0.00938908
country;3;0.00938908
creatures;3;0.00938908
cried;3;0.00938908
crimes;3;0.00938908
defend;3;0.00938908
delight;3;0.00938908
delights;3;0.00938908
denmarks;3;0.00938908
dew;3;0.00938908
distemper;3;0.00938908
doomsday;3;0.00938908
doors;3;0.00938908
draws;3;0.00938908
dreadful;3;0.00938908
dreams;3;0.00938908
drinks;3;0.00938908
drum;3;0.00938908
dry;3;0.00938908
ducats;3;0.00938908
edge;3;0.00938908
election;3;0.00938908
encounter;3;0.00938908
enemy;3;0.00938908
entreat;3;0.00938908
estate;3;0.00938908
evil;3;0.00938908
excellence;3;0.00938908
express;3;0.00938908
faithful;3;0.00938908
falln;3;0.00938908
fancy;3;0.00938908
fantasy;3;0.00938908
faults;3;0.00938908
feast;3;0.00938908
fee;3;0.00938908
feeling;3;0.00938908
few;3;0.00938908
fiery;3;0.00938908
fight;3;0.00938908
finding;3;0.00938908
finds;3;0.00938908
five;3;0.00938908
fixd;3;0.00938908
flat;3;0.00938908
flowers;3;0.00938908
foolish;3;0.00938908
foot;3;0.00938908
force;3;0.00938908
former;3;0.00938908
forms;3;0.00938908
forward;3;0.00938908
francisco;3;0.00938908
gallows;3;0.00938908
gaming;3;0.00938908
gather;3;0.00938908
generous;3;0.00938908
giving;3;0.00938908
going;3;0.00938908
golden;3;0.00938908
gonzago;3;0.00938908
goodly;3;0.00938908
graves;3;0.00938908
gross;3;0.00938908
guilt;3;0.00938908
hadst;3;0.00938908
hangers;3;0.00938908
haply;3;0.00938908
happy;3;0.00938908
harsh;3;0.00938908
hears;3;0.00938908
heartily;3;0.00938908
hearts;3;0.00938908
heat;3;0.00938908
heels;3;0.00938908
hercules;3;0.00938908
high;3;0.00938908
hill;3;0.00938908
hits;3;0.00938908
honourable;3;0.00938908
horse;3;0.00938908
husbands;3;0.00938908
idle;3;0.00938908
ift;3;0.00938908
ignorance;3;0.00938908
ignorant;3;0.00938908
importing;3;0.00938908
indifferent;3;0.00938908
inward;3;0.00938908
jephthah;3;0.00938908
jest;3;0.00938908
judge;3;0.00938908
judgments;3;0.00938908
justly;3;0.00938908
kills;3;0.00938908
kisses;3;0.00938908
left;3;0.00938908
letter;3;0.00938908
liege;3;0.00938908
liest;3;0.00938908
likes;3;0.00938908
lines;3;0.00938908
livery;3;0.00938908
lo;3;0.00938908
loud;3;0.00938908
loving;3;0.00938908
maids;3;0.00938908
making;3;0.00938908
married;3;0.00938908
mens;3;0.00938908
mere;3;0.00938908
mistress;3;0.00938908
mobled;3;0.00938908
morn;3;0.00938908
mountain;3;0.00938908
murtherer;3;0.00938908
nation;3;0.00938908
natures;3;0.00938908
neck;3;0.00938908
neer;3;0.00938908
nephew;3;0.00938908
new;3;0.00938908
nine;3;0.00938908
nony;3;0.00938908
observe;3;0.00938908
odds;3;0.00938908
offended;3;0.00938908
offer;3;0.00938908
officer;3;0.00938908
often;3;0.00938908
order;3;0.00938908
organ;3;0.00938908
otherwise;3;0.00938908
ourself;3;0.00938908
parts;3;0.00938908
passage;3;0.00938908
passing;3;0.00938908
past;3;0.00938908
patient;3;0.00938908
pious;3;0.00938908
pipe;3;0.00938908
pit;3;0.00938908
piteous;3;0.00938908
pith;3;0.00938908
playd;3;0.00938908
pluck;3;0.00938908
poisond;3;0.00938908
poland;3;0.00938908
powers;3;0.00938908
prepare;3;0.00938908
presence;3;0.00938908
process;3;0.00938908
profit;3;0.00938908
proud;3;0.00938908
provd;3;0.00938908
prove;3;0.00938908
pure;3;0.00938908
purposes;3;0.00938908
purse;3;0.00938908
rage;3;0.00938908
rapier;3;0.00938908
rapiers;3;0.00938908
rash;3;0.00938908
rat;3;0.00938908
receivd;3;0.00938908
recorders;3;0.00938908
recover;3;0.00938908
remains;3;0.00938908
repent;3;0.00938908
revengd;3;0.00938908
rich;3;0.00938908
rises;3;0.00938908
rogue;3;0.00938908
rouse;3;0.00938908
royal;3;0.00938908
ruld;3;0.00938908
sail;3;0.00938908
sailors;3;0.00938908
saint;3;0.00938908
salt;3;0.00938908
scope;3;0.00938908
seal;3;0.00938908
secrecy;3;0.00938908
servant;3;0.00938908
shadow;3;0.00938908
shapes;3;0.00938908
shell;3;0.00938908
shoulder;3;0.00938908
sides;3;0.00938908
sirs;3;0.00938908
sith;3;0.00938908
skill;3;0.00938908
slow;3;0.00938908
smiling;3;0.00938908
soldier;3;0.00938908
solemn;3;0.00938908
sometime;3;0.00938908
sometimes;3;0.00938908
sore;3;0.00938908
sort;3;0.00938908
sovereign;3;0.00938908
special;3;0.00938908
sponge;3;0.00938908
sport;3;0.00938908
spring;3;0.00938908
stayd;3;0.00938908
steel;3;0.00938908
stick;3;0.00938908
stole;3;0.00938908
story;3;0.00938908
stuff;3;0.00938908
subject;3;0.00938908
suffer;3;0.00938908
suffers;3;0.00938908
suit;3;0.00938908
suits;3;0.00938908
taken;3;0.00938908
tame;3;0.00938908
tear;3;0.00938908
tempt;3;0.00938908
tenders;3;0.00938908
theme;3;0.00938908
thick;3;0.00938908
third;3;0.00938908
thirty;3;0.00938908
thither;3;0.00938908
tongues;3;0.00938908
